,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
0,Programming and Algorithms,18/09/2023,10:00 AM,18/09/2023,12:00 PM,FALSE,Online Lecture Engagement COMP/1005/01/OLE/01/01,University of Nottingham ,TRUE
1,Systems and Architecture,18/09/2023,01:00 PM,18/09/2023,02:00 PM,FALSE,Online Lecture Engagement COMP/1006/01/OLE/01/01,University of Nottingham ,TRUE
2,Mathematics for Computer Scientists 1,19/09/2023,09:00 AM,19/09/2023,10:00 AM,FALSE,Lecture COMP/1001/01/L/01/01,University of Nottingham JC BS South B52,TRUE
3,Programming and Algorithms,19/09/2023,10:00 AM,19/09/2023,11:00 AM,FALSE,Lecture COMP/1005/01/L/01/01,University of Nottingham JC BS South B52,TRUE
4,,19/09/2023,02:00 PM,19/09/2023,04:00 PM,FALSE,"Computing COMP/1005/01/C/01/01,COMP/1006/01/C/01/01,COMP/1007/01/C/01/01_JT",University of Nottingham JC Comp Sci A32,TRUE
5,Computer Fundamentals,20/09/2023,11:00 AM,20/09/2023,12:00 PM,FALSE,Online Lecture Engagement COMP/1007/01/OLE/01/01,University of Nottingham ,TRUE
6,Programming and Algorithms,21/09/2023,11:00 AM,21/09/2023,12:00 PM,FALSE,Tutorial COMP/1005/01/T/01/07,University of Nottingham JC Comp Sci C60,TRUE
7,Mathematics for Computer Scientists 1,21/09/2023,12:00 PM,21/09/2023,01:00 PM,FALSE,Tutorial COMP/1001/01/T/01/04,University of Nottingham JC Xu Yafen B18,TRUE
8,,21/09/2023,01:00 PM,21/09/2023,03:00 PM,FALSE,"Computing COMP/1005/01/C/02/01, COMP/1006/01/C/02/01, COMP/1007/01/C/02/01_JT",University of Nottingham JC Comp Sci A32,TRUE
9,,21/09/2023,03:00 PM,21/09/2023,05:00 PM,FALSE,"Computing COMP/1005/01/C/03/01, COMP/1006/01/C/03/01, COMP/1007/01/C/03/01_JT",University of Nottingham JC Comp Sci A32,TRUE
10,Computer Science First Year Tutorial,22/09/2023,10:00 AM,22/09/2023,11:00 AM,FALSE,Tutorial COMP/1002/01/T/01/01,University of Nottingham ,TRUE
11,Mathematics for Computer Scientists 1,22/09/2023,11:00 AM,22/09/2023,12:00 PM,FALSE,Lecture COMP/1001/01/L/02/01,University of Nottingham JC BS South B52,TRUE
12,Systems and Architecture,22/09/2023,02:00 PM,22/09/2023,03:00 PM,FALSE,Online Lecture Engagement COMP/1006/01/OLE/02/01,University of Nottingham ,TRUE
13,Computer Fundamentals,22/09/2023,03:00 PM,22/09/2023,04:00 PM,FALSE,Online Lecture Engagement COMP/1007/01/OLE/02/01,University of Nottingham ,TRUE
14,Programming and Algorithms,25/09/2023,10:00 AM,25/09/2023,12:00 PM,FALSE,Online Lecture Engagement COMP/1005/01/OLE/01/01,University of Nottingham ,TRUE
15,Systems and Architecture,25/09/2023,01:00 PM,25/09/2023,02:00 PM,FALSE,Online Lecture Engagement COMP/1006/01/OLE/01/01,University of Nottingham ,TRUE
16,Mathematics for Computer Scientists 1,26/09/2023,09:00 AM,26/09/2023,10:00 AM,FALSE,Lecture COMP/1001/01/L/01/01,University of Nottingham JC BS South B52,TRUE
17,Programming and Algorithms,26/09/2023,10:00 AM,26/09/2023,11:00 AM,FALSE,Lecture COMP/1005/01/L/01/01,University of Nottingham JC BS South B52,TRUE
18,,26/09/2023,02:00 PM,26/09/2023,04:00 PM,FALSE,"Computing COMP/1005/01/C/01/01,COMP/1006/01/C/01/01,COMP/1007/01/C/01/01_JT",University of Nottingham JC Comp Sci A32,TRUE
19,Computer Fundamentals,27/09/2023,11:00 AM,27/09/2023,12:00 PM,FALSE,Online Lecture Engagement COMP/1007/01/OLE/01/01,University of Nottingham ,TRUE
20,Programming and Algorithms,28/09/2023,11:00 AM,28/09/2023,12:00 PM,FALSE,Tutorial COMP/1005/01/T/01/07,University of Nottingham JC Comp Sci C60,TRUE
21,Mathematics for Computer Scientists 1,28/09/2023,12:00 PM,28/09/2023,01:00 PM,FALSE,Tutorial COMP/1001/01/T/01/04,University of Nottingham JC Xu Yafen B18,TRUE
22,,28/09/2023,01:00 PM,28/09/2023,03:00 PM,FALSE,"Computing COMP/1005/01/C/02/01, COMP/1006/01/C/02/01, COMP/1007/01/C/02/01_JT",University of Nottingham JC Comp Sci A32,TRUE
23,,28/09/2023,03:00 PM,28/09/2023,05:00 PM,FALSE,"Computing COMP/1005/01/C/03/01, COMP/1006/01/C/03/01, COMP/1007/01/C/03/01_JT",University of Nottingham JC Comp Sci A32,TRUE
24,Computer Science First Year Tutorial,29/09/2023,10:00 AM,29/09/2023,11:00 AM,FALSE,Tutorial COMP/1002/01/T/01/01,University of Nottingham ,TRUE
25,Mathematics for Computer Scientists 1,29/09/2023,11:00 AM,29/09/2023,12:00 PM,FALSE,Lecture COMP/1001/01/L/02/01,University of Nottingham JC BS South B52,TRUE
26,Systems and Architecture,29/09/2023,02:00 PM,29/09/2023,03:00 PM,FALSE,Online Lecture Engagement COMP/1006/01/OLE/02/01,University of Nottingham ,TRUE
27,Computer Fundamentals,29/09/2023,03:00 PM,29/09/2023,04:00 PM,FALSE,Online Lecture Engagement COMP/1007/01/OLE/02/01,University of Nottingham ,TRUE
28,Programming and Algorithms,02/10/2023,10:00 AM,02/10/2023,12:00 PM,FALSE,Online Lecture Engagement COMP/1005/01/OLE/01/01,University of Nottingham ,TRUE
29,Systems and Architecture,02/10/2023,01:00 PM,02/10/2023,02:00 PM,FALSE,Online Lecture Engagement COMP/1006/01/OLE/01/01,University of Nottingham ,TRUE
30,Mathematics for Computer Scientists 1,03/10/2023,09:00 AM,03/10/2023,10:00 AM,FALSE,Lecture COMP/1001/01/L/01/01,University of Nottingham JC BS South B52,TRUE
31,Programming and Algorithms,03/10/2023,10:00 AM,03/10/2023,11:00 AM,FALSE,Lecture COMP/1005/01/L/01/01,University of Nottingham JC BS South B52,TRUE
32,,03/10/2023,02:00 PM,03/10/2023,04:00 PM,FALSE,"Computing COMP/1005/01/C/01/01,COMP/1006/01/C/01/01,COMP/1007/01/C/01/01_JT",University of Nottingham JC Comp Sci A32,TRUE
